NIT_EMISOR,NRC_EMISOR,ANIO,MES,TIPO_DOC,NUM_DOC,FECHA_EMISION,NOMBRE_CLIENTE,DUI_CLIENTE,VENTAS_EXENTAS,VENTAS_NO_SUJETAS,VENTAS_GRAVADAS,DEBITO_FISCAL,TOTAL_VENTA,NUM_ANULACION,TIPO_ANULACION,SECTOR_ECONOMICO,CLASIFICACION_PRODUCTO,FORMA_PAGO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001418,23/07/2024,FRANCISCO JAVIER RIVAS SALINAS,22485824-0,0,0,2692.38,350.01,3042.39,,,INDUSTRIA,SERVICIOS,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001419,19/07/2024,ANA LUCIA GONZALEZ FLORES,77837366-2,0,0,1186.08,154.19,1340.27,,,COMERCIO,SERVICIOS,TARJETA_CREDITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001420,08/07/2024,CLAUDIA MICHELLE DIAZ PORTILLO,45029610-5,0,0,1181.89,153.65,1335.54,,,INDUSTRIA,SERVICIOS,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001421,09/07/2024,PATRICIA BEATRIZ CASTRO LUNA,20024377-3,0,0,2311.59,300.51,2612.1,,,COMERCIO,BIENES,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001422,15/07/2024,ROBERTO ALFREDO MENDEZ ORELLANA,64561191-1,0,0,2894.08,376.23,3270.31,,,INDUSTRIA,SERVICIOS,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001423,28/07/2024,ANA LUCIA GONZALEZ FLORES,22136086-2,0,0,916.12,119.1,1035.22,,,COMERCIO,BIENES,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001424,05/07/2024,JOSE ANTONIO HERNANDEZ PEREZ,43315361-5,0,0,151.61,19.71,171.32,,,SERVICIOS,BIENES,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001425,28/07/2024,OSCAR ANTONIO VENTURA CONTRERAS,84618850-8,0,0,1388.82,180.55,1569.37,,,SERVICIOS,BIENES,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001426,02/07/2024,HENRY MAURICIO COREAS MONTOYA,39835008-2,0,0,1204.74,156.62,1361.36,,,COMERCIO,MIXTO,CHEQUE
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001427,09/07/2024,JOSE ANTONIO HERNANDEZ PEREZ,12925970-1,0,0,1939.73,252.16,2191.89,,,COMERCIO,SERVICIOS,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001428,02/07/2024,OSCAR ANTONIO VENTURA CONTRERAS,16796477-2,0,0,1302.3,169.3,1471.6,,,AGRICULTURA,BIENES,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001429,22/07/2024,DIANA ELIZABETH QUINTANILLA BLANCO,33193791-5,0,0,565.52,73.52,639.04,,,SERVICIOS,BIENES,CHEQUE
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001430,20/07/2024,JESSICA VANESSA REYES CARBALLO,42988674-4,0,0,2648.92,344.36,2993.28,,,COMERCIO,SERVICIOS,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001431,05/07/2024,DIANA ELIZABETH QUINTANILLA BLANCO,36770773-8,0,0,2982.29,387.7,3369.99,,,COMERCIO,SERVICIOS,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001432,16/07/2024,LORENA PATRICIA VEGA MENDOZA,75052579-5,0,0,1509.67,196.26,1705.93,,,SERVICIOS,BIENES,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001433,20/07/2024,PATRICIA BEATRIZ CASTRO LUNA,13933043-4,297.46,0,1590.65,206.78,2094.89,,,SERVICIOS,BIENES,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001434,08/07/2024,GLORIA MARINA RAMOS SIGUENZA,42366980-4,0,0,2374.76,308.72,2683.48,,,SERVICIOS,MIXTO,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001435,12/07/2024,ROSA MARIA SANCHEZ VIDAL,33635791-3,0,0,2419.6,314.55,2734.15,,,COMERCIO,MIXTO,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001436,31/07/2024,NELSON ALBERTO MIRANDA MONGE,85645982-2,0,0,568.76,73.94,642.7,,,AGRICULTURA,MIXTO,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001437,06/07/2024,KARLA BEATRIZ SERRANO ANDRADE,15095407-1,180.5,0,64.68,8.41,253.59,,,INDUSTRIA,MIXTO,TARJETA_CREDITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001438,26/07/2024,CARLOS ALBERTO RAMIREZ MORALES,55735904-2,0,0,2533.63,329.37,2863.0,,,COMERCIO,BIENES,CHEQUE
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001439,23/07/2024,CARLOS ALBERTO RAMIREZ MORALES,24887509-8,0,0,2881.87,374.64,3256.51,,,AGRICULTURA,MIXTO,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001440,11/07/2024,CLAUDIA MICHELLE DIAZ PORTILLO,53299069-2,0,0,2198.39,285.79,2484.18,,,AGRICULTURA,MIXTO,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001441,06/07/2024,JORGE ARTURO ARGUETA LINARES,85427317-9,0,0,673.6,87.57,761.17,,,SERVICIOS,SERVICIOS,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001442,24/07/2024,JORGE ARTURO ARGUETA LINARES,49529438-2,0,0,10.38,1.35,11.73,,,AGRICULTURA,MIXTO,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001443,06/07/2024,JESSICA VANESSA REYES CARBALLO,52710350-9,0,0,1698.82,220.85,1919.67,,,SERVICIOS,SERVICIOS,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001444,08/07/2024,SILVIA GUADALUPE LEON MOLINA,52885071-2,0,0,2889.42,375.62,3265.04,,,INDUSTRIA,SERVICIOS,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001445,09/07/2024,LUIS ERNESTO MEJIA CAMPOS,43492807-1,0,0,2362.12,307.08,2669.2,,,COMERCIO,SERVICIOS,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001446,24/07/2024,DIANA ELIZABETH QUINTANILLA BLANCO,32325567-6,0,0,1139.24,148.1,1287.34,,,COMERCIO,SERVICIOS,CHEQUE
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001447,21/07/2024,HENRY MAURICIO COREAS MONTOYA,40277201-2,0,0,2398.59,311.82,2710.41,,,COMERCIO,SERVICIOS,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001448,31/07/2024,ANA LUCIA GONZALEZ FLORES,19959009-5,0,0,1129.5,146.84,1276.34,,,COMERCIO,SERVICIOS,CHEQUE
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001449,20/07/2024,KARLA BEATRIZ SERRANO ANDRADE,14159837-6,0,0,499.17,64.89,564.06,,,SERVICIOS,BIENES,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001450,11/07/2024,LUIS ERNESTO MEJIA CAMPOS,35499255-6,0,0,2167.5,281.78,2449.28,,,INDUSTRIA,MIXTO,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001451,10/07/2024,PATRICIA BEATRIZ CASTRO LUNA,22873617-0,0,0,1651.24,214.66,1865.9,,,COMERCIO,SERVICIOS,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001452,14/07/2024,JOSE ANTONIO HERNANDEZ PEREZ,49533757-9,0,0,295.48,38.41,333.89,,,INDUSTRIA,BIENES,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001453,28/07/2024,ANA LUCIA GONZALEZ FLORES,51386492-6,0,0,2685.16,349.07,3034.23,,,AGRICULTURA,BIENES,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001454,29/07/2024,EDGAR ALEXANDER PENA AGUILAR,59580252-2,0,0,793.57,103.16,896.73,,,SERVICIOS,SERVICIOS,CHEQUE
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001455,02/07/2024,CARLOS ALBERTO RAMIREZ MORALES,99586100-1,103.14,0,1626.64,211.46,1941.24,,,SERVICIOS,MIXTO,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001456,27/07/2024,EDGAR ALEXANDER PENA AGUILAR,80139805-6,0,0,2062.77,268.16,2330.93,,,SERVICIOS,SERVICIOS,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001457,03/07/2024,EDGAR ALEXANDER PENA AGUILAR,14661179-8,0,0,1552.87,201.87,1754.74,,,SERVICIOS,BIENES,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001458,06/07/2024,ROSA MARIA SANCHEZ VIDAL,38439415-3,0,0,1273.01,165.49,1438.5,,,AGRICULTURA,BIENES,TARJETA_CREDITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001459,27/07/2024,JESSICA VANESSA REYES CARBALLO,44612921-5,0,0,2742.95,356.58,3099.53,,,AGRICULTURA,MIXTO,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001460,18/07/2024,ROBERTO ALFREDO MENDEZ ORELLANA,47071046-8,0,0,2621.03,340.73,2961.76,,,AGRICULTURA,BIENES,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001461,05/07/2024,CARLOS ALBERTO RAMIREZ MORALES,86046949-9,0,0,2894.67,376.31,3270.98,,,COMERCIO,MIXTO,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001462,26/07/2024,CLAUDIA MICHELLE DIAZ PORTILLO,81891508-5,0,0,796.09,103.49,899.58,,,AGRICULTURA,BIENES,TARJETA_CREDITO
